동별(1),동별(2),동별(3),2016 1/4,2016 1/4,2016 1/4,2016 1/4,2016 1/4,2016 1/4,2016 1/4,2016 1/4,2016 1/4,2016 1/4,2016 1/4,2016 1/4,2016 1/4,2016 1/4,2016 1/4,2016 1/4,2016 1/4,2016 1/4
동별(1),동별(2),동별(3),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
동별(1),동별(2),동별(3),소계,중국,중국,중국,미국,타이완,일본,베트남,몽골,필리핀,캐나다,우즈벡,러시아,인도,타이,영국,프랑스,기       타
동별(1),동별(2),동별(3),소계,소계,한국계 중국인,중국인,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
동별(1),동별(2),동별(3),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
합계,소계,소계,273233,196181,138957,57224,9242,8664,8191,8708,5189,3665,1777,1954,1431,1898,1292,1470,2044,21527
합계,종로구,소계,8851,5680,2473,3207,299,265,232,401,129,103,50,48,53,70,61,74,116,1270
합계,종로구,사직동,336,109,21,88,35,12,24,3,-,11,7,3,18,10,3,5,21,75
합계,종로구,삼청동,201,35,23,12,7,4,2,103,-,2,-,-,-,-,-,3,3,42
합계,종로구,부암동,428,301,19,282,11,10,9,12,2,2,1,-,4,-,15,3,6,52
합계,종로구,평창동,196,32,7,25,51,15,10,5,1,16,6,2,1,4,1,9,16,27
합계,종로구,무악동,77,47,14,33,4,12,3,2,1,2,2,-,-,-,-,-,-,4
합계,종로구,교남동,74,50,39,11,1,-,1,3,1,5,-,-,1,-,1,-,1,10
합계,종로구,가회동,134,32,22,10,16,7,7,4,-,9,6,-,-,-,3,5,9,36
합계,종로구,종로1.2.3.4가동,880,290,127,163,30,43,80,21,4,21,7,10,6,33,23,34,11,267
합계,종로구,종로5.6가동,317,217,132,85,3,6,9,8,13,3,2,1,1,1,-,-,-,53
합계,종로구,이화동,512,261,59,202,14,8,12,55,22,4,1,1,5,7,5,3,4,110
합계,종로구,창신1동,865,670,573,97,2,9,2,21,12,2,-,5,-,2,-,-,-,140
합계,종로구,창신2동,1188,1023,853,170,2,8,2,51,4,3,2,6,1,-,1,-,-,85
합계,종로구,창신3동,160,96,73,23,1,4,5,7,10,1,-,1,-,-,-,-,1,34
합계,종로구,숭인1동,370,267,204,63,2,5,5,8,35,3,-,5,-,2,-,-,1,37
합계,종로구,숭인2동,449,340,229,111,4,24,5,17,8,2,1,3,-,-,-,1,-,44
합계,종로구,청운효자동,260,61,15,46,97,20,6,3,-,14,6,-,-,-,-,1,8,44
합계,종로구,혜화동,2404,1849,63,1786,19,78,50,78,16,3,9,11,16,11,9,10,35,210
합계,중구,소계,8671,4788,2616,2172,270,623,215,222,393,91,25,540,221,139,22,60,50,1012
합계,중구,소공동,654,71,8,63,21,27,44,-,10,18,9,20,118,24,1,33,10,248
합계,중구,회현동,657,204,105,99,56,231,32,3,-,7,3,2,4,9,1,13,7,85
합계,중구,명동,523,305,78,227,26,80,22,3,-,3,-,-,4,12,8,3,10,47
합계,중구,필동,772,429,45,384,13,45,30,20,6,-,3,11,6,23,2,2,2,180
