dong,Income,,
가락1동,9,,
가락2동,8,,
가락본동,7,,
가리봉동,5,,
가산동,6,,
가양1동,7,,
가양2동,7,,
가양3동,7,,
가회동,7,,
갈현1동,6,,
갈현2동,6,,
강일동,7,,
개봉1동,6,,
개봉2동,6,,
개봉3동,6,,
개포1동,9,,
개포2동,9,,
개포4동,7,,
거여1동,6,,
거여2동,7,,
고덕1동,8,,
고덕2동,6,,
고척1동,6,,
고척2동,6,,
공덕동,8,,
공릉1동,6,,
공릉2동,7,,
공항동,7,,
광장동,9,,
광희동,7,,
교남동,8,,
구로1동,7,,
구로2동,6,,
구로3동,6,,
구로4동,6,,
구로5동,7,,
구산동,6,,
구의1동,6,,
구의2동,6,,
구의3동,8,,
군자동,6,,
금호1가동,8,,
금호2.3가동,8,,
금호4가동,8,,
길동,6,,
길음1동,8,,
길음2동,7,,
낙성대동,7,,
난곡동,5,,
난향동,7,,
남가좌1동,8,,
남가좌2동,7,,
남영동,7,,
남현동,7,,
내곡동,8,,
노량진1동,7,,
노량진2동,6,,
녹번동,7,,
논현1동,7,,
논현2동,8,,
능동,6,,
다산동,6,,
답십리1동,7,,
답십리2동,7,,
당산1동,7,,
당산2동,8,,
대림1동,6,,
대림2동,6,,
대림3동,6,,
대방동,7,,
대조동,6,,
대치1동,10,,
대치2동,9,,
대치4동,8,,
대학동,6,,
대흥동,7,,
도곡1동,9,,
도곡2동,9,,
도림동,7,,
도봉1동,5,,
도봉2동,6,,
도화동,8,,
독산1동,7,,
독산2동,5,,
독산3동,5,,
독산4동,6,,
돈암1동,7,,
돈암2동,8,,
동선동,7,,
동화동,8,,
둔촌1동,7,,
둔촌2동,7,,
등촌3동,7,,
등촌1동,7,,
등촌2동,7,,
마장동,7,,
마천1동,5,,
마천2동,5,,
망우3동,5,,
망우본동,6,,
망원1동,6,,
망원2동,6,,
면목2동,5,,
면목3.8동,5,,
면목4동,6,,
면목5동,5,,
면목7동,6,,
면목본동,5,,
명동,7,,
명일1동,7,,
명일2동,8,,
목1동,9,,
목2동,7,,
목3동,7,,
목4동,7,,
목5동,9,,
무악동,9,,
묵1동,7,,
묵2동,6,,
문래동,8,,
문정1동,7,,
문정2동,8,,
미성동,6,,
미아동,5,,
반포1동,9,,
반포2동,9,,
반포3동,9,,
반포4동,9,,
반포본동,9,,
발산1동,7,,
방배1동,8,,
방배2동,8,,
방배3동,8,,
방배4동,8,,
방배본동,8,,
방이1동,8,,
방이2동,6,,
방학1동,6,,
방학2동,5,,
방학3동,6,,
방화1동,7,,
방화2동,6,,
방화3동,7,,
번1동,5,,
번2동,5,,
번3동,6,,
보광동,6,,
보라매동,6,,
보문동,7,,
부암동,7,,
북가좌1동,8,,
북가좌2동,6,,
북아현동,8,,
불광1동,7,,
불광2동,6,,
사근동,7,,
사당1동,6,,
사당2동,8,,
사당3동,8,,
사당4동,6,,
사당5동,7,,
사직동,9,,
삼각산동,7,,
삼선동,7,,
삼성1동,9,,
삼성2동,9,,
삼성동,6,,
삼양동,6,,
삼전동,6,,
삼청동,7,,
상계10동,7,,
상계1동,7,,
상계2동,7,,
상계3.4동,6,,
상계5동,6,,
상계6.7동,7,,
상계8동,7,,
상계9동,6,,
상도1동,8,,
상도2동,8,,
상도3동,6,,
상도4동,6,,
상봉1동,6,,
상봉2동,6,,
상암동,8,,
상일동,7,,
서강동,8,,
서교동,7,,
서림동,6,,
서빙고동,8,,
서원동,5,,
서초1동,8,,
서초2동,9,,
서초3동,8,,
서초4동,9,,
석관동,6,,
석촌동,6,,
성내1동,7,,
성내2동,6,,
성내3동,6,,
성북동,7,,
성산1동,6,,
성산2동,7,,
성수1가1동,8,,
성수1가2동,7,,
성수2가1동,6,,
성수2가3동,7,,
성현동,7,,
세곡동,8,,
소공동,8,,
송정동,6,,
송중동,6,,
송천동,6,,
송파1동,7,,
송파2동,8,,
수궁동,6,,
수색동,7,,
수서동,8,,
수유1동,5,,
수유2동,6,,
수유3동,5,,
숭인1동,6,,
숭인2동,6,,
시흥1동,6,,
시흥2동,7,,
시흥3동,6,,
시흥4동,5,,
시흥5동,5,,
신길1동,6,,
신길3동,7,,
신길4동,6,,
신길5동,6,,
신길6동,7,,
신길7동,7,,
신내1동,6,,
신내2동,7,,
신당5동,5,,
신당동,6,,
신대방1동,8,,
신대방2동,7,,
신도림동,8,,
신림동,5,,
신사1동,6,,
신사2동,6,,
신사동,9,,
신수동,8,,
신원동,5,,
신월1동,5,,
신월2동,6,,
신월3동,5,,
신월4동,6,,
신월5동,6,,
신월6동,6,,
신월7동,6,,
신정1동,9,,
신정2동,8,,
신정3동,7,,
신정4동,6,,
신정6동,9,,
신정7동,8,,
신촌동,7,,
쌍문1동,5,,
쌍문2동,5,,
쌍문3동,5,,
쌍문4동,6,,
아현동,9,,
안암동,6,,
암사1동,6,,
암사2동,7,,
암사3동,8,,
압구정동,9,,
약수동,8,,
양재1동,8,,
양재2동,7,,
양평1동,7,,
양평2동,7,,
여의동,9,,
역삼1동,7,,
역삼2동,9,,
역촌동,6,,
연남동,6,,
연희동,7,,
염리동,8,,
염창동,8,,
영등포동,7,,
영등포본동,7,,
오금동,7,,
오류1동,6,,
오류2동,6,,
오륜동,9,,
옥수동,8,,
왕십리2동,7,,
왕십리도선동,8,,
용강동,8,,
용답동,6,,
용문동,7,,
용산2가동,6,,
용신동,6,,
우이동,6,,
우장산동,8,,
원효로1동,8,,
원효로2동,8,,
월계1동,6,,
월계2동,6,,
월계3동,7,,
월곡1동,7,,
월곡2동,7,,
은천동,7,,
을지로동,7,,
응봉동,8,,
응암1동,6,,
응암2동,7,,
응암3동,6,,
이문1동,6,,
이문2동,7,,
이촌1동,9,,
이촌2동,7,,
이태원1동,7,,
이태원2동,7,,
이화동,7,,
인수동,5,,
인헌동,6,,
일원1동,7,,
일원2동,8,,
일원본동,9,,
자양1동,6,,
자양2동,7,,
자양3동,8,,
자양4동,7,,
잠실2동,9,,
잠실3동,9,,
잠실4동,9,,
잠실6동,9,,
잠실7동,9,,
잠실본동,7,,
잠원동,9,,
장안1동,6,,
장안2동,6,,
장위1동,5,,
장위2동,5,,
장위3동,7,,
장지동,7,,
장충동,6,,
전농1동,7,,
전농2동,7,,
정릉1동,7,,
정릉2동,6,,
정릉3동,6,,
정릉4동,7,,
제기동,6,,
조원동,6,,
종로1.2.3.4가동,7,,
종로5.6가동,6,,
종암동,7,,
중계1동,8,,
중계2.3동,6,,
중계4동,7,,
중계본동,8,,
중곡1동,6,,
중곡2동,6,,
중곡3동,5,,
중곡4동,6,,
중림동,8,,
중앙동,6,,
중화1동,6,,
중화2동,5,,
증산동,6,,
진관동,7,,
창1동,7,,
창2동,6,,
창3동,5,,
창4동,7,,
창5동,7,,
창신1동,5,,
창신2동,5,,
창신3동,7,,
천연동,8,,
천호1동,6,,
천호2동,6,,
천호3동,7,,
청구동,7,,
청담동,9,,
청량리동,6,,
청룡동,6,,
청림동,7,,
청운효자동,8,,
청파동,6,,
충현동,7,,
평창동,8,,
풍납1동,7,,
풍납2동,8,,
필동,7,,
하계1동,7,,
하계2동,7,,
한강로동,9,,
한남동,8,,
합정동,7,,
행당1동,8,,
행당2동,8,,
행운동,6,,
혜화동,7,,
홍은1동,7,,
홍은2동,6,,
홍제1동,7,,
홍제2동,7,,
홍제3동,6,,
화곡1동,6,,
화곡2동,5,,
화곡3동,7,,
화곡4동,5,,
화곡6동,7,,
화곡8동,6,,
화곡본동,5,,
화양동,6,,
황학동,7,,
회기동,7,,
회현동,8,,
효창동,7,,
후암동,7,,
휘경1동,7,,
휘경2동,7,,
흑석동,8,,
,,,
,,,
