ID,Total - Selected places of birth for the immigrant population in private households,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
2583,  Americas,390,2445,785,1465,1050,1110,1285,305,855,1905,635,1150,290,955,585,195,220,340,935,665,2545,550,20600,65330
2584,    Brazil,15,190,20,105,55,50,50,0,35,60,30,45,10,60,10,0,10,0,35,30,230,10,1030,2855
2585,    Colombia,20,160,20,50,35,45,85,0,70,70,15,45,10,55,25,10,0,0,50,55,110,20,950,3080
2586,    El Salvador,0,25,10,25,65,110,115,0,90,35,35,45,10,180,15,0,0,30,125,130,85,0,1125,4400
2587,    Guyana,0,25,10,15,15,15,10,0,25,15,10,15,0,10,10,0,10,10,25,10,35,0,255,920
2588,    Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,260
2589,    Jamaica,25,35,25,45,0,20,25,15,0,40,15,25,0,25,10,0,10,0,40,30,65,10,485,2230
2590,    Mexico,10,440,70,190,125,130,145,40,85,190,70,115,50,185,40,30,15,50,90,85,570,45,2760,7855
2591,    Peru,25,85,20,50,20,65,75,0,65,50,25,55,15,35,30,20,0,10,25,35,55,35,790,2695 
2592,    Trinidad and Tobago,15,30,10,45,10,10,30,10,35,25,25,15,0,25,10,0,10,10,50,15,65,0,455,1940
2593,    United States,240,1085,535,795,540,355,465,195,210,1175,275,635,175,180,345,100,120,175,250,105,990,385,9295,26450
2594,    Other places of birth in Americas,35,355,60,150,185,300,280,30,235,245,145,165,15,195,110,25,45,50,250,170,330,40,3430,12645
2595,  Europe,1080,5580,1640,3275,2225,2320,2350,735,1305,4910,1355,2255,640,2395,1440,480,495,455,965,1055,5900,1210,43990,170930
2596,    Bosnia and Herzegovina,20,380,20,95,30,20,25,20,25,50,10,10,0,90,25,0,10,15,0,25,270,10,1160,3930
2597,    Croatia,40,125,15,70,105,140,50,10,25,65,25,40,40,70,20,10,0,0,0,60,95,25,1050,4110
2598,    France,65,240,55,170,75,45,85,10,20,215,35,150,25,75,50,15,20,30,35,15,285,55,1780,3440
2599,    Germany,70,340,175,230,180,60,200,35,95,430,60,140,35,90,140,45,15,35,100,100,505,130,3205,13515
2600,    Greece,130,20,85,30,30,55,45,30,35,315,20,50,20,70,70,10,20,0,35,40,30,35,1175,2885
2601,    Hungary,25,115,15,50,65,35,35,20,40,110,105,35,15,30,35,0,10,25,25,40,115,10,950,3705
2602,    Ireland,20,170,35,150,120,45,80,20,10,325,50,90,0,40,60,30,20,10,10,25,375,75,1755,3830
2603,    Italy,60,165,60,75,310,1120,260,20,105,140,25,80,15,505,75,10,20,15,60,195,185,15,3515,10395
2604,    Netherlands,40,65,40,55,55,40,50,30,25,105,30,55,10,10,25,10,0,10,45,15,115,40,860,6295
2605,    Poland,15,270,60,155,110,50,155,30,195,115,65,155,40,80,90,0,20,35,75,50,335,65,2150,10480
2606,    Portugal,10,40,0,25,70,130,330,0,125,30,10,20,10,495,75,0,15,10,40,90,60,20,1590,4660
2607,    Romania,35,245,30,90,60,10,20,20,20,95,105,40,50,40,10,0,0,10,40,10,260,40,1235,7110
2608,    Russian Federation,30,575,55,170,55,50,85,35,75,180,110,115,75,95,25,15,30,50,45,40,370,40,2335,8460
2609,    Serbia,0,320,45,195,70,10,30,10,20,100,95,40,0,50,20,10,45,10,15,15,215,10,1315,3780
2610,    Ukraine,0,280,20,55,10,0,70,25,25,115,50,90,30,70,30,0,10,0,65,20,225,20,1210,5475
2611,    United Kingdom,380,1445,790,1150,625,330,590,320,290,1955,285,790,190,345,520,255,195,135,260,170,1480,505,12970,56530
2612,    Other places of birth in Europe,110,775,145,495,255,205,245,110,180,565,275,360,70,245,175,65,60,60,100,145,980,135,5735,22325
2613,  Africa,160,905,195,520,225,195,340,110,400,430,265,250,70,395,160,130,85,200,215,185,605,145,6175,32100
2614,    Algeria,0,0,0,0,10,10,20,0,10,15,10,0,0,20,0,10,0,0,0,0,20,0,125,425
2615,    Egypt,10,55,10,25,10,20,0,0,0,45,10,10,0,10,0,10,0,0,0,10,95,10,310,2110
2616,    Ethiopia,0,35,0,30,20,35,45,0,55,10,25,10,0,45,10,0,0,45,35,20,15,10,440,1665
2617,    Kenya,10,125,15,65,30,15,25,15,40,30,25,30,0,55,15,10,15,35,20,15,80,15,680,4065
2618,    Morocco,10,20,0,20,20,0,15,10,15,25,10,10,0,15,10,10,10,10,0,0,25,0,210,730
2619,    Nigeria,0,25,10,10,0,0,0,0,10,0,10,10,10,15,0,0,0,0,15,10,0,0,130,1205
2620,    Somalia,0,10,0,0,20,0,10,0,0,0,10,15,0,0,0,0,0,10,15,0,0,0,100,1010
"2621,""    South Africa, Republic of"",75,320,130,185,50,45,95,65,50,210,85,90,35,50,75,85,50,20,45,25,160,60,1985,8205"
2622,    Other places of birth in Africa,60,300,45,185,75,60,125,30,225,90,90,85,35,185,50,25,15,90,80,105,200,40,2195,12690
2623,  Asia,6020,14310,5190,4035,3980,11425,18160,5410,12340,3915,10805,5095,6690,24280,5245,2685,1765,2830,17525,15895,6535,2760,186710,697305
2624,    Afghanistan,0,30,0,10,10,35,10,0,25,25,20,10,0,25,0,0,0,0,60,15,15,0,290,4865
2625,    Bangladesh,0,50,0,0,0,25,10,0,20,10,20,55,25,0,25,0,15,0,195,25,20,0,490,1870
2626,    China,3325,3335,2960,950,1685,5670,6955,2740,4135,995,4045,905,3095,9005,1550,1445,480,1710,2785,6715,770,1545,66755,188965
2627,    Hong Kong,940,1465,740,610,410,1460,1640,1050,2280,520,2195,490,1350,2915,760,370,390,230,1470,2730,425,290,24695,71720
2628,    India,110,460,85,145,105,240,795,130,805,255,295,235,260,1315,210,90,65,40,5650,1290,365,65,13000,125640
2629,    Iran,125,3415,60,335,90,120,115,80,85,310,185,220,115,140,75,30,50,30,95,40,1485,175,7380,35250
2630,    Iraq,10,55,0,30,25,40,55,10,40,15,70,30,0,50,10,0,0,15,95,60,50,0,655,5210
2631,    Japan,95,595,80,240,145,125,245,95,170,285,265,215,85,275,165,30,75,40,105,105,645,105,4195,10680
"2632,""    Korea, South"",390,1450,145,275,75,85,120,215,485,250,210,330,235,415,55,95,70,25,70,90,520,125,5700,36860"
2633,    Lebanon,15,40,10,25,15,0,10,25,0,30,10,15,10,30,10,20,0,0,10,0,90,10,375,1860
2634,    Pakistan,10,80,10,35,25,15,50,10,55,40,10,30,15,70,10,0,30,0,260,60,90,20,920,9225
2635,    Philippines,105,795,170,450,590,1245,4385,235,2015,250,1665,1375,320,5330,1235,100,180,65,4545,2695,695,45,28480,96685
2636,    Sri Lanka,10,55,25,10,15,45,225,0,60,35,30,90,0,145,20,0,0,0,440,55,30,15,1290,4160
2637,    Syria,20,40,0,10,10,15,20,0,0,20,10,0,10,0,10,15,0,40,30,0,15,0,270,2315
2638,    Taiwan,620,910,580,420,70,165,225,615,535,300,1070,280,720,415,375,345,240,30,275,270,315,155,8920,37425
2639,    Viet Nam,30,230,20,45,515,1540,2585,40,770,95,185,380,120,2575,370,15,35,430,740,1075,120,10,11935,24025
2640,    Other places of birth in Asia,235,1310,290,420,205,590,710,180,860,485,525,440,335,1570,380,120,130,160,705,670,885,195,11360,40565
2641,  Oceania and other places of birth,85,360,155,275,235,250,475,75,215,415,70,250,25,685,210,50,65,65,510,360,360,120,5300,23880
2517,  Canadian citizens,12200,46725,18190,29025,26525,30585,42755,11670,25435,36945,19770,28960,10675,42925,20370,6725,6800,8850,29270,25965,36155,10855,525810,2103120
