,ID,Total - Selected places of birth for the immigrant population in private households,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
0,2583,  Americas,390.0,2445.0,785.0,1465.0,1050.0,1110.0,1285.0,305.0,855.0,1905.0,635.0,1150.0,290.0,955.0,585.0,195.0,220.0,340.0,935.0,665.0,2545.0,550.0,20600.0,65330.0
1,2584,    Brazil,15.0,190.0,20.0,105.0,55.0,50.0,50.0,0.0,35.0,60.0,30.0,45.0,10.0,60.0,10.0,0.0,10.0,0.0,35.0,30.0,230.0,10.0,1030.0,2855.0
2,2585,    Colombia,20.0,160.0,20.0,50.0,35.0,45.0,85.0,0.0,70.0,70.0,15.0,45.0,10.0,55.0,25.0,10.0,0.0,0.0,50.0,55.0,110.0,20.0,950.0,3080.0
3,2586,    El Salvador,0.0,25.0,10.0,25.0,65.0,110.0,115.0,0.0,90.0,35.0,35.0,45.0,10.0,180.0,15.0,0.0,0.0,30.0,125.0,130.0,85.0,0.0,1125.0,4400.0
4,2587,    Guyana,0.0,25.0,10.0,15.0,15.0,15.0,10.0,0.0,25.0,15.0,10.0,15.0,0.0,10.0,10.0,0.0,10.0,10.0,25.0,10.0,35.0,0.0,255.0,920.0
5,2588,    Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,260.0
6,2589,    Jamaica,25.0,35.0,25.0,45.0,0.0,20.0,25.0,15.0,0.0,40.0,15.0,25.0,0.0,25.0,10.0,0.0,10.0,0.0,40.0,30.0,65.0,10.0,485.0,2230.0
7,2590,    Mexico,10.0,440.0,70.0,190.0,125.0,130.0,145.0,40.0,85.0,190.0,70.0,115.0,50.0,185.0,40.0,30.0,15.0,50.0,90.0,85.0,570.0,45.0,2760.0,7855.0
8,2591,    Peru,25.0,85.0,20.0,50.0,20.0,65.0,75.0,0.0,65.0,50.0,25.0,55.0,15.0,35.0,30.0,20.0,0.0,10.0,25.0,35.0,55.0,35.0,790.0,2695.0
9,2592,    Trinidad and Tobago,15.0,30.0,10.0,45.0,10.0,10.0,30.0,10.0,35.0,25.0,25.0,15.0,0.0,25.0,10.0,0.0,10.0,10.0,50.0,15.0,65.0,0.0,455.0,1940.0
10,2593,    United States,240.0,1085.0,535.0,795.0,540.0,355.0,465.0,195.0,210.0,1175.0,275.0,635.0,175.0,180.0,345.0,100.0,120.0,175.0,250.0,105.0,990.0,385.0,9295.0,26450.0
11,2594,    Other places of birth in Americas,35.0,355.0,60.0,150.0,185.0,300.0,280.0,30.0,235.0,245.0,145.0,165.0,15.0,195.0,110.0,25.0,45.0,50.0,250.0,170.0,330.0,40.0,3430.0,12645.0
12,2595,  Europe,1080.0,5580.0,1640.0,3275.0,2225.0,2320.0,2350.0,735.0,1305.0,4910.0,1355.0,2255.0,640.0,2395.0,1440.0,480.0,495.0,455.0,965.0,1055.0,5900.0,1210.0,43990.0,170930.0
13,2596,    Bosnia and Herzegovina,20.0,380.0,20.0,95.0,30.0,20.0,25.0,20.0,25.0,50.0,10.0,10.0,0.0,90.0,25.0,0.0,10.0,15.0,0.0,25.0,270.0,10.0,1160.0,3930.0
14,2597,    Croatia,40.0,125.0,15.0,70.0,105.0,140.0,50.0,10.0,25.0,65.0,25.0,40.0,40.0,70.0,20.0,10.0,0.0,0.0,0.0,60.0,95.0,25.0,1050.0,4110.0
15,2598,    France,65.0,240.0,55.0,170.0,75.0,45.0,85.0,10.0,20.0,215.0,35.0,150.0,25.0,75.0,50.0,15.0,20.0,30.0,35.0,15.0,285.0,55.0,1780.0,3440.0
16,2599,    Germany,70.0,340.0,175.0,230.0,180.0,60.0,200.0,35.0,95.0,430.0,60.0,140.0,35.0,90.0,140.0,45.0,15.0,35.0,100.0,100.0,505.0,130.0,3205.0,13515.0
17,2600,    Greece,130.0,20.0,85.0,30.0,30.0,55.0,45.0,30.0,35.0,315.0,20.0,50.0,20.0,70.0,70.0,10.0,20.0,0.0,35.0,40.0,30.0,35.0,1175.0,2885.0
