,Total Population,Percentage of Latin-Americans,Percentage of Europeans,Percentage of US-Americans,Percentage of Asians,Percentage of Japanese,Percentage of Chinese,Percentage of South-East-Asians,Under $10.000 (including loss),$10.000 to $19.999,$20.000 to $29.999,$30.000 to $39.999,$40.000 to $49.999,$50.000 to $59.999,$60.000 to $69.999,$70.000 to $79.999,$80.000 to $89.999,$90.000 to $99.999,$100.000 and over,$100.000 to $149.999,$150.000 and over,Total,Neighbourhood,location,point,latitude,longitude,altitude
Arbutus-Ridge ,7650.0,1.6993464052287581,14.117647058823529,3.1372549019607843,78.69281045751634,1.2418300653594772,43.4640522875817,1.7647058823529411,2790.0,1820.0,1365.0,1110.0,860.0,700.0,620.0,470.0,415.0,320.0,1720.0,855.0,870.0,13915.0,"Arbutus-Ridge ,Vancouver,BC,Canada","Arbutus-Ridge, Vancouver, Metro Vancouver Regional District, British Columbia, Canada","(49.2462132, -123.1612616, 0.0)",49.2462132,-123.1612616,0.0
Downtown ,23240.0,5.658347676419965,24.010327022375215,4.66867469879518,61.57487091222031,2.5602409638554215,14.35025817555938,4.410499139414802,8785.0,8050.0,4830.0,4325.0,4270.0,3700.0,3530.0,3115.0,2495.0,1940.0,8590.0,5180.0,3405.0,62215.0,"Downtown ,Vancouver,BC,Canada","Downtown, Vancouver, Metro Vancouver Regional District, British Columbia, Canada","(49.283393, -123.1174563, 0.0)",49.283393,-123.1174563,0.0
Dunbar-Southlands ,7810.0,3.0089628681177976,20.998719590268884,6.850192061459667,66.45326504481433,1.0243277848911652,37.900128040973115,2.4327784891165174,3320.0,2140.0,1615.0,1205.0,1130.0,1025.0,820.0,705.0,635.0,575.0,3515.0,1555.0,1965.0,20205.0,"Dunbar-Southlands ,Vancouver,BC,Canada","Dunbar-Southlands, Vancouver, Metro Vancouver Regional District, British Columbia, Canada","(49.237068550000004, -123.18436532910083, 0.0)",49.237068550000004,-123.18436532910083,0.0
Fairview ,9295.0,6.777837547068316,35.23399677245831,8.5529854760624,43.41043571812803,2.5820333512641205,10.220548682087143,5.325443786982249,3185.0,3495.0,3110.0,2955.0,3030.0,2630.0,2370.0,1980.0,1625.0,1165.0,4105.0,2590.0,1520.0,33760.0,"Fairview ,Vancouver,BC,Canada","Fairview, Vancouver, Metro Vancouver Regional District, British Columbia, Canada","(49.2619557, -123.13035055885713, 0.0)",49.2619557,-123.13035055885713,0.0
Grandview-Woodland ,7480.0,6.684491978609626,29.745989304812838,7.219251336898395,53.20855614973262,1.9385026737967916,22.52673796791444,14.772727272727273,3300.0,5305.0,3420.0,2945.0,2590.0,1955.0,1545.0,1170.0,850.0,610.0,1745.0,1260.0,485.0,27180.0,"Grandview-Woodland ,Vancouver,BC,Canada","Grandview-Woodland, Vancouver, Metro Vancouver Regional District, British Columbia, Canada","(49.277138750000006, -123.06690083513674, 0.0)",49.277138750000006,-123.06690083513674,0.0
Hastings-Sunrise ,15050.0,4.883720930232558,15.415282392026578,2.3588039867109636,75.91362126245848,0.8305647840531563,37.67441860465116,18.504983388704318,4575.0,6315.0,4390.0,3185.0,2580.0,1895.0,1465.0,1155.0,730.0,620.0,1505.0,1065.0,440.0,29920.0,"Hastings-Sunrise ,Vancouver,BC,Canada","Hastings-Sunrise, Vancouver, Metro Vancouver Regional District, British Columbia, Canada","(49.278752, -123.04000581430353, 0.0)",49.278752,-123.04000581430353,0.0
Kensington-Cedar Cottage ,22135.0,3.5464196973119493,10.616670431443415,2.1007454257962506,82.04201490851592,1.106844364129207,31.420826744974022,31.48859272645132,6595.0,8580.0,5885.0,4820.0,3865.0,2915.0,1965.0,1490.0,1245.0,840.0,2245.0,1620.0,620.0,42685.0,"Kensington-Cedar Cottage ,Vancouver,BC,Canada","Kensington-Cedar Cottage, Vancouver, Metro Vancouver Regional District, British Columbia, V5V, Canada","(49.2476321, -123.0842067, 0.0)",49.2476321,-123.0842067,0.0
Kerrisdale ,6560.0,1.295731707317073,11.204268292682928,2.972560975609756,82.46951219512195,1.4481707317073171,41.76829268292683,4.192073170731708,2285.0,1650.0,1295.0,865.0,795.0,680.0,670.0,460.0,370.0,315.0,2050.0,920.0,1130.0,13485.0,"Kerrisdale ,Vancouver,BC,Canada","Kerrisdale, Vancouver, Metro Vancouver Regional District, British Columbia, Canada","(49.2209848, -123.1595483795563, 0.0)",49.2209848,-123.1595483795563,0.0
Killarney ,14900.0,4.060402684563758,8.758389261744966,1.4093959731543624,82.81879194630872,1.1409395973154361,27.751677852348994,18.691275167785236,4160.0,4700.0,3165.0,2570.0,2225.0,1735.0,1320.0,950.0,910.0,520.0,1320.0,980.0,345.0,24900.0,"Killarney ,Vancouver,BC,Canada","Killarney, Vancouver, Metro Vancouver Regional District, British Columbia, V5S, Canada","(49.2242738, -123.0462504, 0.0)",49.2242738,-123.0462504,0.0
Kitsilano ,11160.0,6.317204301075269,43.99641577060932,10.528673835125447,35.08064516129033,2.553763440860215,8.915770609318995,3.0913978494623655,4960.0,4945.0,3875.0,3435.0,3510.0,3110.0,2410.0,2160.0,1805.0,1355.0,5940.0,3490.0,2450.0,43445.0,"Kitsilano ,Vancouver,BC,Canada","Kitsilano, Vancouver, Metro Vancouver Regional District, British Columbia, Canada","(49.2694099, -123.155267, 0.0)",49.2694099,-123.155267,0.0
