Total income,Arbutus-Ridge ,Downtown ,Dunbar-Southlands ,Fairview ,Grandview-Woodland ,Hastings-Sunrise ,Kensington-Cedar Cottage ,Kerrisdale ,Killarney ,Kitsilano ,Marpole ,Mount Pleasant ,Oakridge ,Renfrew-Collingwood ,Riley Park ,Shaughnessy ,South Cambie ,Strathcona ,Sunset ,Victoria-Fraserview,West End ,West Point Grey ,Vancouver CSD ,Vancouver CMA 
Under $10.000 (including loss),2790,8785,3320,3185,3300,4575,6595,2285,4160,4960,4555,3115,2510,8455,2705,1190,920,1530,5155,4840,5920,2020,86590,338730
$10.000 to $19.999,1820,8050,2140,3495,5305,6315,8580,1650,4700,4945,3735,4195,2085,9545,2860,665,815,3430,6800,5720,7225,1370,95255,346355
$20.000 to $29.999,1365,4830,1615,3110,3420,4390,5885,1295,3165,3875,2720,3335,1200,6620,2260,650,750,1080,4585,3940,5685,985,66640,248170
$30.000 to $39.999,1110,4325,1205,2955,2945,3185,4820,865,2570,3435,2190,3015,970,5310,1870,475,565,575,3600,3085,4925,845,54720,210570
$40.000 to $49.999,860,4270,1130,3030,2590,2580,3865,795,2225,3510,1860,3100,835,4270,1760,490,495,435,2850,2360,4860,785,48860,188140
$50.000 to $59.999,700,3700,1025,2630,1955,1895,2915,680,1735,3110,1520,2620,655,2850,1310,380,450,385,1820,1615,3825,690,38355,149530
$60.000 to $69.999,620,3530,820,2370,1545,1465,1965,670,1320,2410,1090,2145,435,2075,1075,350,400,200,1240,1065,2945,500,30150,115955
$70.000 to $79.999,470,3115,705,1980,1170,1155,1490,460,950,2160,690,1745,420,1355,930,270,385,210,780,780,2385,555,24120,89390
$80.000 to $89.999,415,2495,635,1625,850,730,1245,370,910,1805,500,1340,330,960,785,285,315,210,670,640,1660,450,19175,71045
$90.000 to $99.999,320,1940,575,1165,610,620,840,315,520,1355,405,930,285,655,595,120,200,115,505,410,1100,255,13815,50770
$100.000 and over,1720,8590,3515,4105,1745,1505,2245,2050,1320,5940,1255,3305,1130,1420,2255,1495,980,430,1085,970,3440,2075,52425,170225
$100.000 to $149.999,855,5180,1555,2590,1260,1065,1620,920,980,3490,785,2185,630,1100,1320,580,530,290,835,675,2325,910,31570,109705
$150.000 and over,870,3405,1965,1520,485,440,620,1130,345,2450,465,1120,505,320,935,915,450,140,250,295,1115,1165,20855,60525
