자치구별(1),자치구별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
자치구별(1),자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
자치구별(1),자치구별(2),소계,한국계 중국인,중국(한국계 중국인 제외),미국,타이완,일본,베트남,몽골,필리핀,캐나다,인도,우즈베키스탄,영국,프랑스,타이,러시아,독일,오스트레일리아,네팔,파키스탄,인도네시아,나이지리아,말레이시아,방글라데시,캄 보 디 아,사우디아라비아,홍       콩,뉴질랜드,카자흐스탄,스 리 랑 카,남아프리카 공화국,미  얀  마,싱 가 포 르,이       란,브  라  질,아 일 랜 드,스  웨  덴,이 탈 리 아,터       키,네 덜 란 드,키르기스스탄,멕  시  코,스  페  인,우크라이나,스  위  스,핀  란  드,가       나,벨  기  에,폴  란  드,이  집  트,오스트리아,수       단,아르헨티나,오       만,이 스 라 엘,페       루,덴  마  크,모  로  코,이  라  크,기       타
자치구별(1),자치구별(2),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
합계,종로구,"9,106",992,"2,637",630,220,318,"2,111",71,56,34,26,71,81,104,39,82,41,149,634,15,28,3,17,9,7,10,44,3,20,10,3,35,21,11,58,12,9,28,7,11,14,9,34,8,13,6,4,13,14,9,23,1,-,5,41,5,4,7,-,239
,중구,"9,288","1,294","2,227",280,534,285,"1,424",265,95,96,119,412,103,88,29,644,157,23,18,50,32,3,66,4,9,17,43,19,198,30,5,11,30,7,14,6,25,31,28,25,29,10,23,25,12,4,8,8,20,19,11,-,1,1,8,29,23,11,1,299
,용산구,"14,332",776,538,"2,554",314,"1,116",271,159,585,214,436,169,295,295,189,189,411,133,30,376,63,534,607,140,95,260,47,37,102,33,94,83,65,75,40,43,60,90,117,34,62,47,90,60,31,16,105,54,22,232,9,81,24,-,24,52,48,103,77,"1,526"
,성동구,"6,682","1,472","2,151",225,137,243,945,205,158,38,102,67,47,34,51,38,59,18,30,80,67,9,62,32,21,7,24,6,13,7,10,39,12,7,8,3,11,23,21,10,6,5,18,7,12,1,15,8,5,4,1,1,-,-,1,2,6,8,2,88
,광진구,"12,631","4,049","3,504",175,127,378,"1,585",856,89,45,162,329,42,52,36,56,34,18,128,155,72,3,103,73,15,1,43,5,50,7,10,68,11,42,9,7,12,21,12,8,12,11,35,8,10,5,1,2,13,5,5,1,4,1,-,1,5,7,-,113
,동대문구,"14,606","1,826","5,703",229,276,544,"2,604",566,196,38,98,296,71,62,79,143,122,18,292,29,79,4,86,43,71,15,158,4,66,24,8,50,14,55,24,13,19,28,36,11,32,16,34,19,11,12,7,13,21,18,5,2,1,-,5,8,6,17,19,360
,중랑구,"4,535","1,217",596,66,76,138,616,"1,238",132,18,5,47,25,12,50,23,4,7,21,10,17,2,7,31,22,2,15,-,20,2,6,9,5,9,5,5,3,5,8,2,9,4,2,-,3,1,-,2,3,3,-,-,-,-,-,1,1,5,-,25
,성북구,"9,614",751,"3,123",324,236,350,"1,419",822,244,53,155,208,68,50,46,132,62,20,70,98,115,13,74,70,28,21,46,8,103,27,16,72,21,34,11,13,13,24,44,15,35,22,19,35,13,8,5,9,7,18,12,-,4,11,3,15,8,22,3,366
,강북구,"3,381",819,603,77,104,119,622,424,93,15,6,78,19,19,52,24,4,1,16,30,17,-,3,4,27,-,21,4,19,3,11,13,-,10,4,6,2,1,18,2,7,-,12,10,2,1,-,-,2,5,1,-,2,-,1,-,-,3,-,45
,도봉구,"2,007",365,304,80,39,106,317,196,169,13,4,42,21,18,32,22,9,4,31,33,12,8,4,9,28,1,6,1,7,-,3,22,7,3,2,2,1,2,4,1,5,8,3,1,1,-,1,-,1,1,-,-,2,2,-,6,-,8,-,40
,노원구,"3,990",445,757,217,81,201,"1,054",315,74,47,68,89,33,17,41,45,8,8,33,28,40,6,7,23,26,7,13,4,33,1,17,80,3,24,5,7,1,4,12,1,8,7,8,5,-,1,4,2,-,9,-,-,-,-,-,4,-,8,4,55
,은평구,"3,866",894,703,153,490,360,449,59,93,32,31,59,44,27,53,40,11,11,15,11,26,4,24,7,32,1,41,5,12,2,10,25,4,5,5,7,5,6,2,8,4,6,5,4,4,2,2,-,3,8,1,-,1,-,1,-,1,7,-,51
